Arist(s) Name,Track Name,Album Name,Language
Swanand Kirkire,Tu Kisi Rail Si,Masaan,Hindi
Swanand Kirkire; Amitabh Bhattacharya,Monta Re,Lootera,Hindi
Ajay,Tuzya Priticha Vinchu Chawla,Fandry (Original Motion Picture Soundtrack),Marathi
Vishal Dadlani,Aao Na,Haider,Hindi
dodie,Monster,Human,English
Get Set Go,Wait,So You've Ruined Your Life,English
Mohit Chauhan; Alma Ferovic,Aur Ho,Rockstar,Hindi
A.R. Rahman; Sukhwinder Singh,Chinnamma Chilakkamma,Meenaxi (Original Motion Picture Soundtrack),Hindi
Midival Punditz; Karsh Kale; Raghu Dixit,Train Song,Gully Boy,Hindi
Vishal-Shekhar; Sukhwinder Singh; Piyush Mishra,Dil Haara,Tashan,Hindi
Madhushree; A.R. Rahman,"Kabhi Neem Neem (From ""Yuva"")",A.R. Rahman the Music Maestro of Bollywood,Hindi
Rashid Khan,Aaoge Jab Tum,Jab We Met,Hindi
Merril Bainbridge,Mouth,The Garden,English
Tessa Violet,Crush,Bad Ideas,English
Bayaan,Nahin Milta,4 Saal,Hindi
A.R. Rahman; Sukhwinder Singh,Taal Se Taal - Western Version,Taal (Original Motion Picture Soundtrack),Hindi
Karthik,Behene De,Raavan,Hindi
Alka Yagnik; Javed Ali,Tu Muskura,Yuvvraaj,Hindi
Alka Yagnik,Gali Mein Chand - Happy,Zakhm,Hindi
Ajay-Atul,Natarang Ubha,Natarang,Marathi
Arijit Singh,Khul Kabhi Toh,Haider,Hindi
Pritam; Arijit Singh,Saawali Si Raat,Barfi! (Original Motion Picture Soundtrack),Hindi
Shankar-Ehsaan-Loy; Adnan Sami; Gulzar,Sweeta,Kill Dil,Hindi
A.R. Rahman; Sukhwinder Singh; KMMC Sufi Ensemble,Piya Milenge,Raanjhanaa (Original Motion Picture Soundtrack),Hindi
Ajay-Atul; Hariharan; Shreya Ghoshal,Jeev Rangla,Jogwa (Original Motion Picture Soundtrack),Marathi
Rahat Fateh Ali Khan; Richa Sharma,Jag Soona Soona Lage,Om Shanti Om,Hindi
Monty Sharma; Parthiv Gohil,Yoon Shabnami,Saawariya (Original Motion Picture Soundtrack),Hindi
Javed Ali; Kailash Kher,Arziyan,Delhi-6,Hindi
Manna Dey,Zindagi Kaisi Hai Paheli,Anand,Hindi
Kishore Kumar; Lata Mangeshkar,Aap Ki Ankhon Mein Kuch,Ghar,Hindi
Kanika Kapoor; Dipanshu Pandit,Chhil Gaye Naina,"Chhil Gaye Naina (From ""NH10"")",Hindi
Udit Narayan; Mahalakshmi Iyer,Ae Ajnabi,Dil Se (Original Motion Picture Soundtrack),Hindi
Rahat Fateh Ali Khan,Jiya Dhadak Dhadak Jaye,Kalyug,Hindi
Hemant Kumar; Asha Bhosle,Gomu Sangtina Mazya,Ha Khel Sawalyancha,Marathi
